Subject,Engine,Order,Minutes
1,Google,1,17.17
1,Bing,2,45.82
1,Yahoo,3,59.05
2,Google,1,12.59
2,Bing,3,22.76
2,Yahoo,2,14.9
3,Google,2,25.04
3,Bing,1,56.56
3,Yahoo,3,17.58
4,Google,2,31.59
4,Bing,3,28.32
4,Yahoo,1,25.32
5,Google,3,9.31
5,Bing,1,34.77
5,Yahoo,2,25.4
6,Google,3,8.13
6,Bing,2,52.79
6,Yahoo,1,54.17
7,Google,1,15.37
7,Bing,2,18.17
7,Yahoo,3,8.77
8,Google,1,6.86
8,Bing,3,48.9
8,Yahoo,2,34.85
9,Google,2,13.45
9,Bing,1,23.07
9,Yahoo,3,33.69
10,Google,2,22.12
10,Bing,3,30.45
10,Yahoo,1,7.54
11,Google,3,12.68
11,Bing,1,10.34
11,Yahoo,2,15.92
12,Google,3,5.24
12,Bing,2,21.42
12,Yahoo,1,6.16
13,Google,1,6.11
13,Bing,2,30.22
13,Yahoo,3,31.61
14,Google,1,18.08
14,Bing,3,13.44
14,Yahoo,2,54.79
15,Google,2,4.45
15,Bing,1,11.13
15,Yahoo,3,12.7
16,Google,2,7.43
16,Bing,3,33.12
16,Yahoo,1,20
17,Google,3,6.85
17,Bing,1,6.78
17,Yahoo,2,18.83
18,Google,3,4.16
18,Bing,2,40.69
18,Yahoo,1,11.64
